排名,名称,年份,评分,评语
93,加勒比海盗,2003,8.8,约翰尼·德普的独角戏。
94,红辣椒,2006,9.0,梦的勾结。
95,狩猎,2012,9.1,人言可畏。
96,功夫,2004,8.7,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
97,请以你的名字呼唤我,2017,8.9,沉醉在电影的情感和视听氛围中无法自拔。
98,剪刀手爱德华,1990,8.7,浪漫忧郁的成人童话。
99,超脱,2011,8.9,穷尽一生，我们要学会的，不过是彼此拥抱。
100,哈利·波特与阿兹卡班的囚徒,2004,8.9,不一样的导演，不一样的哈利·波特。
101,7号房的礼物,2013,8.9,《我是山姆》的《美丽人生》。
102,勇敢的心,1995,8.9,史诗大片的典范。
103,断背山,2005,8.8,每个人心中都有一座断背山。
104,天使爱美丽,2001,8.7,法式小清新。 
105,唐伯虎点秋香,1993,8.7,华太师是黄霑，吴镇宇四大才子之一。
106,入殓师,2008,8.9,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
107,第六感,1999,8.9,深入内心的恐怖，出人意料的结局。
108,幽灵公主,1997,8.9,人与自然的战争史诗。
109,重庆森林,1994,8.8,寂寞没有期限。
110,小森林 夏秋篇,2014,9.0,那些静得只能听见呼吸的日子里，你明白孤独即生活。
111,爱在黎明破晓前,1995,8.8,缘分是个连绵词，最美不过一瞬。
112,阳光灿烂的日子,1994,8.8,一场华丽的意淫。
113,一一,2000,9.1,我们都曾经是一一。
114,哈利·波特与密室,2002,8.8,魔法的密室之门已打开...
115,蝙蝠侠：黑暗骑士崛起,2012,8.8,诺兰就是保证。
116,菊次郎的夏天,1999,8.9,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
117,超能陆战队,2014,8.7,Balalala~~~
118,无人知晓,2004,9.1,我的平常生活就是他人的幸福。
119,消失的爱人,2014,8.7,年度最佳date movie。
120,完美的世界,1993,9.1,坏人的好总是比好人的好来得更感人。
121,小森林 冬春篇,2015,9.0,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
122,爱在日落黄昏时,2004,8.9,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
123,倩女幽魂,1987,8.8,两张绝世的脸。 
124,侧耳倾听,1995,8.9,少女情怀总是诗。
125,借东西的小人阿莉埃蒂,2010,8.9,曾经的那段美好会沉淀为一辈子的记忆。
126,甜蜜蜜,1996,8.9,相逢只要一瞬间，等待却像是一辈子。
127,萤火之森,2011,8.9,触不到的恋人。
128,驯龙高手,2010,8.7,和谐的生活离不开摸头与被摸头。
129,幸福终点站,2004,8.8,有时候幸福需要等一等。 
130,玛丽和马克思,2009,8.9,你是我最好的朋友，你是我唯一的朋友 。
131,时空恋旅人,2013,8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
132,怪兽电力公司,2001,8.7,不要给它起名字，起了名字就有感情了。
133,大鱼,2003,8.8,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
134,告白,2010,8.8,没有一人完全善，也没有一人完全恶。
135,阳光姐妹淘,2011,8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
136,射雕英雄传之东成西就,1993,8.7,百看不厌。 
137,教父3,1990,9.0,任何信念的力量，都无法改变命运。
138,神偷奶爸,2010,8.6,Mr. I Don&#39;t Care其实也有Care的时候。
139,傲慢与偏见,2005,8.7,爱是摈弃傲慢与偏见之后的曙光。
140,玩具总动员3,2010,8.9,跨度十五年的欢乐与泪水。
141,釜山行,2016,8.6,揭露人性的丧尸题材力作。
142,一个叫欧维的男人决定去死,2015,8.9,惠及一生的美丽。
143,恐怖直播,2013,8.7,恐怖分子的“秋菊打官司”。
144,被解救的姜戈,2012,8.8,热血沸腾，那个低俗、性感的无耻混蛋又来了。
